slug,city,province,province_abbr,population,solar_irradiance,avg_sun_hours,avg_electricity_rate,incentive_program,incentive_detail,climate_zone,avg_system_cost,avg_annual_savings,payback_years
toronto,Toronto,Ontario,ON,2930000,1230,3.8,13.0,Canada Greener Homes Grant,The Canada Greener Homes Grant offers up to $5000 in rebates for eligible solar installations combined with Ontario's net metering program allowing surplus energy credits.,Humid Continental,25000,1820,13
vancouver,Vancouver,British Columbia,BC,695000,1180,3.6,12.0,BC Net Metering Program,BC Hydro's net metering program credits solar customers at the full retail rate for surplus electricity fed back to the grid.,Oceanic,24500,1680,14
calgary,Calgary,Alberta,AB,1390000,1350,4.2,17.0,Alberta Municipal Solar Program,Alberta offers net metering and municipalities like Calgary provide additional rebates; high electricity rates make solar ROI especially strong.,Semi-Arid,26000,2450,10
edmonton,Edmonton,Alberta,AB,1010000,1310,4.0,17.0,Alberta Municipal Solar Program,Alberta's deregulated electricity market and net metering policy make solar highly attractive; Edmonton's cold-but-sunny climate is ideal for panel efficiency.,Humid Continental,25500,2350,10
montreal,Montreal,Quebec,QC,2010000,1200,3.7,7.0,Hydro-Quebec Net Metering,Hydro-Quebec's net metering program allows solar customers to bank credits; low electricity rates mean longer payback periods but rising costs improve future returns.,Humid Continental,23000,980,23
ottawa,Ottawa,Ontario,ON,1020000,1250,3.9,13.0,Canada Greener Homes Grant,Ontario's net metering program combined with the federal Greener Homes Grant of up to $5000 makes solar installations financially viable for Ottawa homeowners.,Humid Continental,24500,1870,13
winnipeg,Winnipeg,Manitoba,MB,780000,1290,4.1,9.5,Manitoba Hydro Net Metering,Manitoba Hydro's net metering program credits surplus solar generation; modest electricity rates require careful system sizing for optimal payback.,Humid Continental,23500,1380,17
quebec-city,Quebec City,Quebec,QC,560000,1180,3.6,7.0,Hydro-Quebec Net Metering,Hydro-Quebec credits net metering customers for surplus generation; while rates are low the federal Greener Homes Grant reduces upfront installation costs.,Humid Continental,22500,960,23
hamilton,Hamilton,Ontario,ON,590000,1220,3.7,13.0,Canada Greener Homes Grant,Hamilton homeowners can combine the federal Greener Homes Grant with Ontario's net metering program for meaningful savings on electricity bills.,Humid Continental,24000,1800,13
kitchener,Kitchener,Ontario,ON,260000,1220,3.7,13.0,Canada Greener Homes Grant,Ontario's net metering policy and the Canada Greener Homes Grant of up to $5000 make residential solar a compelling investment in the Kitchener-Waterloo region.,Humid Continental,24000,1790,13
london,London,Ontario,ON,430000,1210,3.7,13.0,Canada Greener Homes Grant,The Canada Greener Homes Grant combined with Ontario net metering credits allows London homeowners to significantly offset installation costs and electricity bills.,Humid Continental,24000,1780,13
halifax,Halifax,Nova Scotia,NS,470000,1150,3.5,16.5,Nova Scotia Solar Rebate Program,Nova Scotia's SolarHomes program offers rebates of up to $0.60/watt for residential solar installations up to a maximum of $3000 per household.,Humid Continental,24500,1870,13
victoria,Victoria,British Columbia,BC,395000,1250,3.9,12.0,BC Net Metering Program,BC Hydro's net metering program provides full retail rate credits for surplus solar generation making Victoria's mild sunny climate highly favorable for solar.,Oceanic,24000,1720,14
brampton,Brampton,Ontario,ON,680000,1230,3.8,13.0,Canada Greener Homes Grant,Brampton residents benefit from Ontario net metering and the federal Greener Homes Grant; suburban homes with large rooftops are ideal for solar installations.,Humid Continental,25000,1820,13
mississauga,Mississauga,Ontario,ON,760000,1230,3.8,13.0,Canada Greener Homes Grant,Ontario's net metering program and the Canada Greener Homes Grant provide a strong incentive framework for Mississauga's large suburban housing stock.,Humid Continental,25000,1820,13
surrey,Surrey,British Columbia,BC,590000,1190,3.7,12.0,BC Net Metering Program,Surrey homeowners can enroll in BC Hydro's net metering program to earn full retail rate credits for excess solar generation fed back to the grid.,Oceanic,24500,1700,14
burnaby,Burnaby,British Columbia,BC,255000,1190,3.7,12.0,BC Net Metering Program,BC Hydro net metering combined with relatively high residential electricity rates and long summer days makes solar a viable option for Burnaby homeowners.,Oceanic,24500,1700,14
richmond,Richmond,British Columbia,BC,230000,1200,3.7,12.0,BC Net Metering Program,BC Hydro's net metering program credits surplus solar generation at retail rates; Richmond's flat terrain is well-suited for rooftop and ground-mounted systems.,Oceanic,24500,1710,14
kelowna,Kelowna,British Columbia,BC,145000,1390,4.4,12.0,BC Net Metering Program,Kelowna enjoys some of BC's highest solar irradiance levels; BC Hydro net metering makes it one of the best solar investment cities in the province.,Semi-Arid,24000,1920,12
abbotsford,Abbotsford,British Columbia,BC,155000,1200,3.7,12.0,BC Net Metering Program,Abbotsford residents can access BC Hydro's net metering program offering full retail rate credits; the Fraser Valley's long summer days support strong solar output.,Oceanic,24000,1700,14
saskatoon,Saskatoon,Saskatchewan,SK,290000,1340,4.2,16.0,SaskPower Net Metering,SaskPower's net metering program pays solar customers at the avoided cost rate for surplus generation; high electricity prices and abundant sunshine make solar compelling.,Semi-Arid,25500,2200,11
regina,Regina,Saskatchewan,SK,230000,1330,4.2,16.0,SaskPower Net Metering,SaskPower net metering allows homeowners to offset electricity bills; Regina's wide open skies and high annual sun hours make it well-suited for solar generation.,Semi-Arid,25500,2180,11
red-deer,Red Deer,Alberta,AB,105000,1320,4.1,17.0,Alberta Municipal Solar Program,Alberta net metering and deregulated electricity market offer strong ROI for Red Deer solar adopters; the province's sunny climate maximizes system output year-round.,Semi-Arid,25500,2320,11
